Assignee,Summary
erack,old pastes clipboard can still be after inserting current date or time
erack,old enter pastes clipboard can still be executed after inserting current date or time 
dennisfrancis.in,undo after changes drop drag the original formula
dennisfrancis.in,undo after drag drop changes the original formula
michael.stahl,fileopen docx regression orphan and widow control for give paragraph isnt applied in documents made with microsoft word
michael.stahl,fileopen docx regression orphan and widow control for paragraph isnt applied in documents made with microsoft word
bakos.attilakaroly,fileopen docx table flux cell content flow changes
bakos.attilakaroly,fileopen docx table cell content flow changes
erack,double negation with array in text context behaves like single
erack,double negation with text in array context behaves like single 
sbergman,jvm doesnt detect libreoffice because of unexpected java vendor property value
sbergman,libreoffice doesnt detect jvm because of unexpected java vendor property value
vasily.melenchuk,filesave pasted wrangle height is reset by after saving and reopen
vasily.melenchuk,filesave pasted row height is reset by after saving and reopen
s.mehrbrodt,unable to finis most sidebar decks
s.mehrbrodt,unable to close most sidebar decks
mikekaganski,lost of space symbols in docx written document
mikekaganski,lost of space symbols in docx document
michael.stahl,crash after moving the content down and undoing
michael.stahl,crash after moving the content down and undoing
michael.stahl,crash after pasting
michael.stahl,crash after pasting
serge.krot,fileopen docx hyperlink text does not get color
serge.krot,fileopen docx hyperlink in text box does not get blue color
varga.balazs3,fileopen xlsx some of the excel line calc
varga.balazs3,fileopen xlsx some of the excel line chart markers disappears in calc
Armin.Le.Grand,parts of svg image not see displayed correctly at smaller zoom levels anti aliasing
Armin.Le.Grand,parts of svg image not displayed correctly at smaller zoom levels anti aliasing 
sbergman,crash previously a document that closing crash at import time gtk gtk
sbergman,crash closing a document that previously crash at import time gtk gtk 
mikekaganski,tower dont have vertical gridlines after column
mikekaganski,columns dont have vertical gridlines after column 
michael.stahl,regression from bug when anchoring a ground graphic as character
michael.stahl,regression from bug when anchoring a graphic as character
tundeth,as in unicode interpretate url file link
tundeth,url in unicode interpretate as file link
erack,rounding of displayed as wall clock time
erack,rounding of durations displayed as wall clock time 
michael.stahl,starviewmetafile import regression
michael.stahl,starviewmetafile import regression
michael.stahl,the undoing
michael.stahl,crash after editing the index and undoing
tundeth,filesave xlsx hyperlink inserted to text package lost after export
tundeth,filesave xlsx hyperlink inserted to text box lost after export
m.weghorn,kde wieland issues with slide show with videos
m.weghorn,kde wayland issues with slide show with videos
erack,custom properties with x customs duty f keep growing escapements when roundtripping as ooxml formats
erack,custom properties with x f keep growing escapements when roundtripping as ooxml formats 
michael.stahl,fileopen docx numbered paragraph loses numbering after changes paragraph in hide deleted view
michael.stahl,fileopen docx numbered paragraph loses numbering after deleted paragraph in hide changes view
zolnaitamas2000,pptx export shape has wrong fill colourize comming from theme
zolnaitamas2000,pptx export shape has wrong fill color comming from theme
raykowj,frame style dialog frame style area color material body is reset to none
raykowj,frame style dialog frame style area color is reset to none
serval2412,crash vcllo outputdevice removetransparenciesfrommetafile xa
serval2412,crash vcllo outputdevice removetransparenciesfrommetafile xa 
michael.stahl,crash after saving and or closing shut document
michael.stahl,crash after saving and or closing document
mikekaganski,break apart working with file with lots of hints
mikekaganski,crash working with file with lots of hints
mikekaganski,docx exportation document with a picture and page break doesnt open in ms word when saved as docx
mikekaganski,docx export document with a picture and page break doesnt open in ms word when saved as docx
michael.stahl,wrong calculation number of pages field numpages if page numbering field page starts wrongly from even number
michael.stahl,wrong calculation number of pages field numpages if page numbering field page starts from even number
michael.stahl,in paste on particular document
michael.stahl,crash in layout after paste on particular document
dennisfrancis.in,fileopen document hangs at import time with ooo exit post inauguration
dennisfrancis.in,fileopen document hangs at import time with ooo exit post startup 
michael.stahl,crash smash ntdll rtlentercriticalsection
michael.stahl,crash ntdll rtlentercriticalsection
michael.stahl,crash isvalidpos swanchoreddrawobject swlo
michael.stahl,crash swlo swanchoreddrawobject isvalidpos
tundeth,moves pptx ellipsoid gradient center filesave
